DateTime,PlayersCount
7/5/2006 16:00,4664
7/5/2006 17:00,4578
7/5/2006 18:00,3390
7/5/2006 19:00,3874
7/5/2006 20:00,4010
7/5/2006 21:00,5444
7/5/2006 22:00,5584
7/5/2006 23:00,5172
7/16/2006 0:00,2086
7/16/2006 1:00,1562
7/16/2006 2:00,1187
7/16/2006 3:00,625
7/16/2006 4:00,475
7/16/2006 5:00,333
7/16/2006 6:00,349
7/16/2006 7:00,352
7/16/2006 8:00,471
7/16/2006 9:00,716
7/16/2006 10:00,1025
7/16/2006 11:00,1279
7/16/2006 12:00,1419
7/16/2006 13:00,1562
7/16/2006 14:00,1699
7/16/2006 15:00,1763
7/16/2006 16:00,1753
7/16/2006 17:00,1692
7/16/2006 18:00,1393
7/16/2006 19:00,1540
7/16/2006 20:00,2019
7/16/2006 21:00,2301
7/16/2006 22:00,2317
7/16/2006 23:00,2248
7/23/2006 0:00,2302
7/23/2006 1:00,1588
7/23/2006 2:00,1086
7/23/2006 3:00,742
7/23/2006 4:00,344
7/23/2006 5:00,326
7/23/2006 6:00,234
7/23/2006 7:00,287
7/23/2006 8:00,437
7/23/2006 9:00,716
7/23/2006 10:00,930
7/23/2006 11:00,1245
7/23/2006 12:00,1339
7/23/2006 13:00,1357
7/23/2006 14:00,1739
7/23/2006 15:00,1784
7/23/2006 16:00,1588
7/23/2006 17:00,1566
7/23/2006 18:00,1269
7/23/2006 19:00,1670
7/23/2006 20:00,1717
7/23/2006 21:00,2205
7/23/2006 22:00,2222
7/23/2006 23:00,2076
7/30/2006 0:00,2380
7/30/2006 1:00,1893
7/30/2006 2:00,1331
7/30/2006 3:00,842
7/30/2006 4:00,614
7/30/2006 5:00,443
7/30/2006 6:00,355
7/30/2006 7:00,378
7/30/2006 8:00,485
7/30/2006 9:00,737
7/30/2006 10:00,1095
7/30/2006 11:00,1288
7/30/2006 12:00,1404
7/30/2006 13:00,1528
7/30/2006 14:00,1686
7/30/2006 15:00,1680
7/30/2006 16:00,1339
7/30/2006 17:00,1017
7/30/2006 18:00,1410
7/30/2006 19:00,1652
7/30/2006 20:00,2071
7/30/2006 21:00,2258
7/30/2006 22:00,2314
7/30/2006 23:00,2274
8/1/2006 0:00,6242
8/1/2006 1:00,5634
8/1/2006 2:00,4634
8/1/2006 3:00,3264
8/1/2006 4:00,2366
8/1/2006 5:00,1768
8/1/2006 6:00,1258
8/1/2006 7:00,1016
8/1/2006 8:00,1356
8/1/2006 9:00,2042
8/1/2006 10:00,2948
8/1/2006 11:00,3516
8/1/2006 12:00,3708
8/1/2006 13:00,4386
8/1/2006 14:00,4924
8/1/2006 15:00,5380
8/1/2006 16:00,5360
8/1/2006 17:00,5140
8/1/2006 18:00,4834
8/1/2006 19:00,4712
8/1/2006 20:00,5360
8/1/2006 21:00,5060
